,message,label
0,피넛이 디점멸이라 지는거다 한화는,1
1,원딜 애쉬,1
2,88848,0
3,이건 캐릭차이다,1
4,Dk 3 - 5 뭐임??,1
5,클로저는 뭐냐 ㅋ,1
6,아니 세주궁을 ㅋㅋㅋ,1
7,오너는 제계약 하지말자 진짜,0
8,줫댄다,0
9,88848,0
10,이불킥 하나 생기셨네 ㅋㅋㅋㅋ,1
11,차피 징동은 티원 만나면 바텀 개발릴꺼 같은데 ,1
12,직관 남녀팟 모텔 생각중이면 개추 ㅋㅋ,1
13,황 지 우,1
14,drx 잘하네,1
15,그저 -무-우우비,1
16,요네 못하는 대상혁?,1
17,이기자 티원!!!,1
18,딜라이트 CS 왜 뺏어먹음.. 하..,1
19,아펠 딜넣는거 지리네,1
20,대 황 노,1
21,그 와중에 바론 먹는 판단은 지리네 ,1
22,이긴건 젠지 화난건...,1
23,88848,0
24,좀 하자..,1
25,구마유시 제리,1
26,롤 서버 나만터짐?,1
27,ㅇㅅㅇ,1
28,골드로저,1
29,제카 아칼리 사일은 역체임,1
30,우틀않 고고혓,1
31,탑미드: 광동판정승,1
32,구마유시 궁은 썻나 한번도 못본거같은데,1
33,가루라면 십 ㅋㅋㅋㅋㅋㅋ,1
34,도란 딜량 미쳤노..,1
35,표식 무죄 ㅇㅈ,1
36,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㄹㅇ 너무하네,1
37,지는 거에요?,1
38,똥식,1
39,미 미 미안한데 미 미 미래에서 왔다 미 미 미친놈처럼 보여? 미 미 미슐랭 3스타같이 미 미 미술작품 같은 이니시로 티원이 이김,1
40,캐리해줄게,1
41,왤케 웃기냐,1
42,무생무치가 뭔말이여 무색무취지,1
43,88848의 그4도 상대가 DK여서 올라간거임.. 레알 내수전용,0
44,1577 0013,0
45,티원경기는 언제있나요?,1
46,젲,1
47,한중전 ㅋㅋㅋㅋㅋㅋ,1
48,애쉬 안해?,1
49,불 물건이다,1
50,게임이 노잼 운영하고있는데 해설이어케재밌냐 빡통들아,0
51,뭐야새벽인데 왜 라이브임,1
52,노틸은 밴하자ㅠ,1
53,치매노인 나슥갈ㅜㅜ,0
54,사 장.,1
55,승률이 75퍼인데 18승 0패라고 하는 애는 뭐냐,1
56,캬,1
57,밑천아닌가요...,1
58,라이엇 뭐하냐ㅑ고,1
59,개우스..,1
60,씨맥은 명장이다..,1
61,그 토스 ㅋㅋㅋ,1
62,우리가 원하는건 잭스잭스잭스,1
63,골 드 로 저,1
64,비디디 ㅅㅅㅅㅅ,1
65,에욱,1
66,세나는 cs도 얼마못먹어놓고 버스타네,1
67,ㅈㅈ,1
68,2,1
69,한지민도 늙엇내 얼굴보닌간,0
70,캬,1
71,캬~,1
72,담붕이 신났노 ㅋㅋ,1
73,키이야기하지마라 운다,1
74,탑차이 ㅋㅋㅋㅋ,1
