,message,label
441822,지우는 개천의 용이다,1
101414,와 광동 서부입성?ㄷㄷㄷㄷ,1
489255,퍼펙트가 굳건하노,1
785327,함화무저건승,1
737999,ㄹㅇㅋㅋ,1
733390,대상혁,1
347045,구마유니의 월즈루틴 <<<이거 무섭네ㄷㄷ,1
949873,저건 또 가을까지 기다려야함 ㅋㅋ,1
577848,아니 언제해 18넘들아,1
344168,외식 ㅋㅋ,1
417655,?,1
935307,2 대 1로 한화 승,1
127099,꼴좋네ㅋㅋ,1
935515,ㄹㅇㅋㅋ,1
563531,만트라q못맞추면 씨맥이 2시간동안 피드백 한다는데,1
989612,진짜 다들 이렇게 싫어하는데 그만좀 나오셈 용준님;;;듣기가 힘듬 말을 너무 더듬고 결승전 오프닝만 하세요,1
664753,굳이 망했다고 해설하는 게임을 볼 필요가 있나?,1
778679,제카.......,1
4090,ㄴㅇㅅㄴㅇㅅ,1
295071,.,1
692697,이판은 젠지응원 농심신라면?중국산...,1
543601,페이커 최고 티원우승 88848 제카 뽀록우승 대꺾마,0
605799,똥넛,1
583482,대중국의 해킹 디도스 공격때문에 하지못하고 있다. 대 중국의 디도스 공격의 목적은 LPL의 몰락으로 인해 경제가치가 떨어지게 되자 한국의 스타플레이어들의 중국 이적을 요청하고 있는 것이다,1
944560,궁극기는 켈황,1
137449,DHK,1
580760,무슨일?,1
311879,티원개털어버린 젠지네요 화이팅~~,1
619758,트페 너넨 제라,1
101638,일본롤대회 ㅈㄴ웃기네 ㅋㅋㅋㅋ,1
746419,지우는 뭐,1
970164,든버지한테 돈받으러온 사채업자 낀리우스 ㅋㅋㅋㅋㅋㅋㅋ,1
883975,케리야 헬퍼쓰네,1
170847,너만 던지냐 나도 던진다 이수준인데,1
68921,빙글뱅글,1
260663,고운 피부가 무너진다구요~,1
120318,황 카,1
984829,킬관여 100 ㅋㅋㅋㅋㅋㅋ 개지리노,1
243944,켈황,1
729152,오너 화난게 느껴지네 ㅋㅋㅋ,1
465143,페이커 쵸비. 사이 좋은데 갈라치기 하지 말아주세요ㅠㅠ,1
120679,한화승으로 뭔가 끝난거같은데,1
