,message,label
0,구마 머하노,1
1,꽉 꼭햄 ,1
2,티원 개이득,1
3,신인..,1
4,불딜은 감히 바딜보다 위다,1
5,전령 스노우볼 ㅅㄱ,1
6,T1 팬인대 ..지금 T1 벤픽보면 2022 MSI 꼴 생각만남.. 어이없음,1
7,슼평;;,0
8,브실골플에다마 싹 다 15분 솔킬 아트가 더 높은데 걍 지금까지 제우스가 잘해서 저 구도 압도했던거임 ㅇㅇ,1
9,영,1
10,이게 의미가 있나....,1
11,젠지를 이긴 케이티를 이긴 광동 ,1
12,설마,1
13,아태디,1
14,쭈압쭈압 대상혁 ㄷㄷ,1
15,황사장 미쳤다,1
16,1557,0
17,정보) 페이커가 최연장자다,1
18,주도권 잡을수있는 밴픽을 좀 준비하라고,1
19,1557,0
20,이제 베인 서폿만 남았다,1
21,카메라맨 드가좌~,1
22,케센세,1
23,개잘해ㄷㄷ,1
24,진짜 개노답이네,1
25,역시 켈황,1
26,젠지충들 좀 꺼져줬으면...,0
27,대상혁,1
28,아오 아지르 ㅋㅋ,1
29,바 선 생,1
30,역시 킬각은 켈황 ㅋㅋ,1
31,응기인,1
32,졌다 패귀픽 카르마 ㅋㅋㅋㅋㅋ,1
33,젠지,1
34,ㅋㅋㅋㅋㅋㅋ,1
35,울리,1
36,대 스,1
37,젠지는 삼성 계승안하고 별2개만 200억주고 산건가요?,1
38,중계시간을 맞추기싫어서 안맞추냐고 사정이있어서 그런거지 막말로 공짜로보는 니가뭔데 시간맞추래 공짜좋아하는 구지깽깽아,1
39,지우는 팀이 밉다,1
40,하지만 왜 8강에선 범이 아니었나요..,1
41,라칸벤 이겻다,1
42,ㅋㅋㅋㅋㅋㅋㅋㅋ 이거 지면 디알엑스 진짜 막겜한거네,1
43,끼이이이이ㅣㄴ!,1
44,아칼리 ㅈㄴ세네,1
45,저건 지우잡은 바루스가 pog다,1
46,디알엑스 홧팅,1
47,친중팀 잘하네,1
48,브리온 3명왓노,1
49,티원 지고,1
50,불이0 이면 태윤은 마이너스잖아,1
51,cs 멋대로 먹은 서폿한테 왜 pog를 줘야함?,0
52,달팽이님 스크린샷 했습니다. Lck로 메일 보내겠습니다.,1
53,쵸비한테 제오구케 진작에 붙여줬으면 롤드컵 세번은 먹었지 ㅋㅋ,1
54,뭔덕??,1
55,도 사 님,1
56,역시 약팀,1
57,방금판 아우솔이 고혈빨고 ㅈㄴ 못했는데,0
58,미디어 ㅉㅉ,1
59,지우가 ㄹㅇ 희망이다...,1
60,대황킹겐,1
61,아지르 참,1
62,롤알못들 또 훈수 두네 ㅌㅋㅌㅋㅋㅋㅋㅋ 아까벤픽으로 티원 진다는 얘들 어디감?ㅋㅋㅋㅋ,1
63,밸붕된거 맞는듯 오히려 1경기가 더 재밌었음ㅠ,1
64,와 대 상 혁,1
65,왜이렇게 잘해진 건가요... 뭔가 슬프네,1
66,DK팬들아 전캐 욕하지마라 잘하고있는대 왜케 욕하고 나대냐 ㅡㅡ,1
67,바이퍼원맨팀 ㅋ,0
68,대 황 메 이 커 ,1
69,우승하러 가는구나,1
70,농심도 노답 fox도 노답.....,0
71,lpl젠지 잘하네,0
72,와 ㅋㅋ 탕후루 씹 ㅋㅋ,1
73,[조나는 탑 서드로 킹겐을 뽑았다],1
74,늙기싫다,1
75,비션이형 머냐,1
76,여기서 이상한 채팅치는애들 무슨 생각으로 하는거야? 본인들이 이상한거 모른가?,1
77,아트가 뒤돌아서 졌다,1
78,오늘 솔랭 금지 ㅋㅋ,1
79,1557-0013,0
80,티원 롤드컵우승4회 한화젠지0회 ㅋㅋㅋㅋ 어차피 은승은? 티원:hugging_face::hugging_face:,0
81,와 클로저 ㅋㅋㅋ,1
82,DRX 롤드컵 어떻게 우승했냐?,1
83,꿀단지 ㄷㄷ,1
84,너무 좋다 젠지,1
85,ㅇ,1
86,솔직히ㅜ아지르가 하는게없음,1
87,이게 이렇게된다고,1
88,진자림 화이팅!!,1
89,다이브? 설마,1
90,오늘담원머냐!,1
91,탱커입장에서 이니시는 걸어야하는데 베인 개 무서움,1
92,88848,0
93,올해 티원도 아직 못이겨봤는데 ㅋㅋㅋㅋ,1
94,국대에서 페이커 밴치보낸 쵸비가 새삼 대단힌다,0
95,잭스 줘 터지네,1
96,lck언제부터 중국이랑 대회함?,0
97,88848,0
98,근데 이건 오너 맞는듯,1
99,오리아나를 풀어???,1
100,퍼펙트 물건이다 진짜 탱키함 + 집중력 + 한타력까지 미쳤다,1
101,전용준할배 나오면 스피커 끄고 본다,0
102,응디디아웃ㅋㅋ,1
103,t1 방금 부두술 걸었다.. 이제 모른다.,1
104,제드?,1
105,케리아는 메이킹이 맞다 뭔 밀리오여,1
106,허수는 고혈캐좀하자,1
107,억제기차이 크다,1
108,ㅋㅋㅋㅋ,1
109,크산테 걍 ㅋㅋㅋ 개사기챔이뉴 ;,1
110,ㅋㅋㅋㅋㅋ 개웃기네,1
111,라바돈 스킬쓸때마다 주문력의 120% 추가데미지 ㅇㅇ,1
112,진짜 누가봐도 쳐발리고 있었는데 골드 차이가 ㅋㅋ,1
113,점멸 ㅋㅋㅋ,1
114,역시 운영은 켈황 ㅋㅋ,1
115,타팀 비하는 슼갈들 전문이지 ㅋㅋㅋ,0
116,ㅋㅋㅋㅋㅋ개웃기네 찬밥듀오,1
117,든든은울고있다,1
118,슬슬 딜이,1
119,1557 기록한번 깨자!,0
120,대 상 혁,1
121,88848이 뭔가요,0
122,왼쪽 위에 라이브 안보임?,1
123,넘어오는거 매혹으로 맞추는거봐라 쵸비진짜,1
124,1557,0
125,미드 카르마인데 ,1
126,대 황 탭,1
127,국내전?최강?뭐?,1
128,ㅁㄷㅊㅇ,1
129,집케리아,1
130,불독은 적어도 할 땐 해주네 ㅋㅋㅋ,1
131,1557 1557 1557,0
132,2위랑 3위싸움인데 실력차실환가,1
133,표식 날카롭네,1
134,???: 실력이 전부가 아니야,1
135,일부러 살리려고 뒤로 간거 아님?,1
136,팔목보호대 초시계 대용 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
137,너네 많이 이기셈 우린 월즈 우승할게,1
138,탑이랑서폿차이야 베릴 퍼팩트 바꿔야함,1
139,대. 상. 혁,1
140,ㅡ탑ㅡ,1
141,슈발ㅋㅋㅋㅋㅋㅋㅋㅋ,1
142,대상혁 개빡침,1
143,걍지겟는데 kt,1
144,먼가 티원이 놔주는애들은 다 하자가잇네,1
145,bull 이강인인줄,1
146,선 2렙에 스펠이 저렇게 많이 빠지네 ㅋㅋㅋ,1
147,케리아 잘하긴한다;;,1
148,DRX미드 누구임,1
149,진짜 탈리야 왜함 ㅋㅋㅋ 궁쓴적 있음?,1
150,니코가 잘햇지 롤알못들아,1
151,안딜 어디감?,1
152,갤탭이혀이야,1
153,도란 ㄷㄷㄷ,1
154,럼블 딜보소,1
155,30분 천상강림 on,1
156,지는거에요?,1
157,이번 오너가 너무 안일하게 하다가 짤린게 컷네,1
158,서렌 ㄱ ㅋㅋ,1
159,미안해미안해하지마~~,1
160,케리아,1
161,녹방임..?,1
162,월즈우승못하는 큰산?,1
163,리신이맞을든,1
164,황너,1
165,대상혁,1
166,녹방이라는사람은뭐냐 나 롤파크인데,1
167,오너 여유로운거 보소,1
168,서서죽어뿟네,1
169,아까 루시안 딜각 하나도 안나왔잖음,1
170,6캠 3분컷 ㄷㄷ,1
171,파이크 유효그랩0 궁0,1
172,11연패..줄건싹줘,1
173,몸이 걍 오너임 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
174,두산테,1
175, 브리온에 팬이있겠냐 ㅋㅋ,1
176,걍 재밌다 ㅋㅋ,1
177,역시 우원딜 !!,1
178,불 엄청 잘하는데,1
179,라스칼형님 ㄷㄷ,1
180,광동이 잰지,1
181,게임끝났다 ㅈㅈ,1
182,하이디라오 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
183,안딜 첫 피오지임?,1
184,2군 정글 못하던데 콜업하는 판단 맞음??,1
185,:face-green-smiling:그냥 게임 내내 서폿차이인듯 ㅋㅋ 딜라이트 >>>>> 케리아 :face-green-smiling:,0
186,케리아 상석 ㄷㄷ,1
187,888룰8은 그렇다치는데 3315일만의 대기록은 좀 쌔긴해,0
188,알리 상태가...,1
189,와 광동,1
190,마오카이 drx 스킨이네,1
191,저 조합은 세나가 아니라 오른이 cs먹는게 맞다고 이 롤알못아,1
192,막겜 브리온 이김,1
193,킹트록스,1
194,개상혁,1
195,KuTe,1
196,캬,1
197,캬,1
198,일단 확실한건 두팀다 티젠못이길거같음,1
199,오오,1
200,저걸 리플로보네,1
201,올ad,1
202,켈 황 ㅋ̄̈ㅋ꙼̈ㅋ̆̎ㅋ̄̈,1
203,저게 다 사네,1
204,av,1
205,쵸쇼카 ㄷㄷ,1
206,ㅇ??,1
207,ㅋㅋㅋㅋㅋ,1
208,/시미켄 시점,1
209,아지르 진짜 패귀네,1
210,스크린골프 치고왔는데도 아직도 하고있네 한화 이겨라,1
211,음 미드 유관대전 좋군,1
212,한화에 웬 탐켄치 실사판이 있냐 ㄷㄷ;;,0
213,페이커 진짜 강심장이다 씨ㅋㅋㅋㅋㅋㅋㅋㅋ,1
214,두팀다 선수들 클라스는 쩌네,1
215,888,0
216,오른이되세요,1
217,오타니 ㅋㅋ,1
218,신드라로 트타초반라인전을 이기네,1
219,타워 단한개도안줳ㅇ네,1
220,아니 밴픽탓 하지말라구요ㅠㅠ 루시안 아니였어도 이겼다구요ㅠㅠㅠ 그냥 진거라구요 실력차이로 ㅠㅠ,1
221,ㅋㅋ걍 무시하죠 ㅋㅋㅋ전캐 욕하는애들 수준떨어지는 88848애들이닌까 ㅋ,0
222,아리바리,1
223,88848 땜에 퍼즈느 점;;,0
224,오늘 켈황 자주나오네 ㅋㅋ,1
225,터졌ㄷ,1
226,아까까지 이기는 판이었는데?,1
227,아니 너무 의도가 눈에 띄노,1
228,엄,1
229,해설도 녹화한거고 비공개방송입니다,1
230,똑똑하게 하네,1
231,공깊ㆍㅇ,1
232,드릉드릉 출발,1
233,알리 맛없다,1
234,원딜러들 뭐 먹고 살라고 자꾸 너프하래,1
235,잭스 2킬 먹어도 우디르 아직 밀지 못해,1
236,신짜오가 개좋음,1
237,? 리헨즈 뭐함,1
238,여기는 ㅇㅅㅇ 안해서 좋네,1
239,귀엽노 ㅋㅋ,1
240,플없는데 이걸 해?,1
241,콜미도 괴못하는데 콜미한테 미드차이 내는 카리스는 도대체 ㅋㅋㅋㅋ,0
242,테디 궁 뭐임,1
243,도란은 진짜 팀원빨로 커리어 쌓은게 맞다니깐 ㅋㅋㅋㅋ,1
244,킹겐!!!,1
245,제우스 보소 ㅋㅋ,1
246,미드 약한 팀은 성적이 안나옴.,1
247,세나 cs얘기하는 애들은 티어가 어딜까,1
248,5세트중 4세트 내내 쇼메한테 개 털리고 5세트 만 잘했다,1
249,광동 이쇙키들 태윤 내보내려고 그동안 연기했네 태윤 억까들 나가나가나가!,1
250,똥 프 트,1
251,그렇게,1
252,수빈눈나~~,1
253,콜미한테 발리네ㅋㅋㅋ,1
254,양팀합의하에 녹화방송이라하네 앞으로 땡겨봐 애인들아,0
255,으아 딮기 뭐냐,1
256,광 브 전 취소입니다,1
257,기인인것같다,1
258,오피셜)LCK측에서 발견한 핑이슈는 젠지측의 Didos 공격으로 인한 문제발생이기에 이에 따른 조치로 젠지의 승점몰수 및 플옵자격박탈///오피셜)LCK측에서 발견한 핑이슈는 젠지측의 Didos 공격으로 인한 문제발생이기에 이에 따른 조치로 젠지의 승점몰수 및 플옵자격박탈///,0
259,유출 어디가 이겼다고 뜸?,1
260,이걸 페이커 탓하는건 정신병이지,1
261,캡잭이 진짜 로아 너무많이해서 그럼,1
262,페이커였으면 에이스났는데,1
263,걍 초반에 터짐,1
264,녹방 어그로뭐야,1
265,점프하면 안맞네,1
266,지우 귀엽네 수빈아나운서한테 아예 몸돌리고 바라보네 ㅋㅋ,1
267,쇼메 대 쵸비 기대된다 ㅋㅋㅋㅋ,1
268,gang gang gang,1
269,애쉬 ㅋㅋㅋㅋ,1
270,오우 카밀,1
271,안딜 원딜 바뀌고 폼 좋아졌네,1
272,아무리봐도 스몰더 거르고 바루스가 문제같음 ㅋㅋ,1
273,이쁘닭..,1
274,클로저한테 배웠나봐 아칼리를,1
275,잭스ㄱ,1
276,킬 스틸 켈황ㅋㅋㅋ,1
277,일반ui네,1
278,한명죽엇을때 굴리는 판단이남다르네 한화는 진짜 계속 쫄아잇고 티원처럼 바론치면서 상대좀 처 불러유리할때,1
279,캬,1
280,치킨안시키길 잘햇네,1
281,두두 pog 안 주면 문제 있다,1
282,밴픽으로 광동 패가 보이는데 이거 봐야하나 지더라도 게임 다운 게임 좀 보여줘,1
283,라스칼은 라인먹었는데 겜이 끝나있어,1
284,로마혁,1
285,몇명임?,1
286,저건 좀 억울할만하다 ㅋㅋㅋㅋㅋㅋㅋㅋ,1
287,괜찮아 어차피 또 8강딱 할건데 ㅋㅋ한잔해~,0
288,ㅈㅈ,1
289,어째 해설캐스터가 티원쪽 편파인것같은 느낌리들지?ㅎㅎ,1
290,박치기공룡 승,1
291,완,1
292,대 상 혁,1
293,매라도 커리어적으로 보면 저평가 받아야하는게 맞음,1
294,마나관리 생각못하는 프로라..,1
295,롤 신 선,1
296,^빛돌^ 하지 말아주세요 ㅠㅠ,1
297,세체원딜은 누구냐 대체,1
298,트페 돈 복사함? ㄷ,1
299,ㅊㅊㅊ,1
300,젠지 너무잘하네,1
