,message,label
0,엥 취소 안됬음?,1
1,안딜은 딜라잇이 밉다,1
2,ㅁㄷㅊㅇ,1
3,정글대통령,1
4,와 ㅋㅋ,1
5,테스터훈 농심이노,1
6,전라인에서 이길데가 한군데도 없네,1
7,스몰더 궁없으면 노 엄이임?,0
8,광동 바텀은 어시도 없네,1
9,트페원딜한테 지냐,1
10,이기택 화이팅,1
11,공포영화노 ㅋㅋㅋㅋㅋ,1
12,녹방 30분에.비공개로한거 보여줌,1
13,페이커도 데뷔하기 전,1
14,리신 신스킨 천상비늘 리신,1
15,대 황 비,1
16,제카도 눈이 촉촉한데?,1
17,딜라가 ㅋㅋㅋㅋ 막다른길로 던져주네,1
18,제리 팬댄에 스태틱이라 개 노딜이네,1
19,확실히 파이크 픽이 좀 별로같긴하다,1
20,리부트였으면 아찔하네ㅋ,1
21,대 상 혁,1
22,쇼메 진짜 라인전 원탑이네,1
23,88848,0
24,이번판 티원진다,1
25,대상혁,1
26,케이티승임,1
27,ㄴㅈ,1
28,또야 제우스?,1
29,8목보호대 ㄷㄷ,0
30,겁나 빨라 ㅋㅋㅋㅋㅋ,1
31,???,1
32,축구단임?,1
33,무빙 지리네,1
34,광동이 이긴다 아우솔캐리로,1
35,쵸비는 신이다,1
36,대 상 혁,1
37,니 팀 버려?,1
38,대상혁 ㅋㅋ,1
39,무슬림도 왔네,1
40,와 기인,1
41,이거 게이머들이 경기할때 쓰는 헤드셋은 그냥 헤드셋이아니라헬리콥터 조종기 기수들 소음잡아줄때 쓰는 헤드셋처럼주변잡음 다빨아먹는 헤드셋인데그것마저 뚫고 사이온궁소리 씹어먹어버림..걍 헬리콥터 1대 파동 < 슼룡들 위기탈출넘버원 울음소리슼룡은 헬리콥터 1대와 맞먹거나 그이상이다..,0
42,스스프링 ㄷ도도독,1
43,ㅋㅋㅋㅋㅋㅋㅋ역시 광동,1
44,ㅇㅅㅇ,1
45,88848,0
46,88848,0
47,든버지!!!,1
48,마가주기,1
49,생방이에요~ 서버따로 만들었음 어그로 끌리지마셈,1
50,퍼펙트는 크산테 밴당하면 끝이네,1
51,라스칼 젠지시절 치매와서 못이김 ㅇㅇ,0
52,ㅇㄹㅇㄹㅇㄹ,1
53,인터뷰 궁금해서 틀었던 경기다...,1
54,zzzzz,1
55,와 광동,1
56,불독이 캐리한다,1
57,새러데이 쇼다운 3세트에선 이거틈,1
58,이 ㅈ밥 싸움이 3꽉을 갈것인가..,0
59,난 오늘 한화가 이기면 그녀에게 고백할거야,1
60,구레이븐...!!,1
61,더 옛날 영상이라도 가져와주지,1
62,대황란 그웬들고 아트한테 밀려나노,1
63,미드 CS 차이가,1
64,공지뜸 오늘 환불 내일 2시 녹화경기 진행이래,1
65,안 죽고요 ㅋㅋ,1
66,혁규는 껌만씹는거같이 보이냐 ㅋㅋ,1
67,롤판이 돌판이 되버럈뉴,1
68,씨맥 피드백 할꺼 많아서 좋겠네,1
69,행복버튼,1
70,이래도 월즈 우승 못하네,1
71,아니 한화 다음엔 카나비 스카웃 사와라,1
72,런 ㅋㅋㅋㅋㅋ,1
73,빅게임 헌터 ㅅㅅㅅㅅㅅㅅㅅㅅ,1
74,?? 안맞는 각 아니엇냐,1
75,피어엑스 화풀이 ㅋㅋㄹㅃㅃ,1
76,태윤지원금,1
77,진짜 너무하네,1
78,오 24에 또 우승함 ㄱㅅㄱㅅ,1
79,또지르 ㅋㅋ,1
80,피넛 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋ,1
81,톰버지 돌아와,1
82, 오늘은 죄우스 네 ,0
83,쵸비아리랑 클라스차이 너무나긴하더라 ㅋㅋㅋㅋㅋㅋㅋ10명다 못해서 받은듯,0
84,대상혁,1
85,딮기가 미운 피어엑스,1
86,눕롤진짜.... 에이스침대가 따로없네 ,0
87,익룡갈팬들은 아닥! 차렷!,0
