,message,label
917279,/싱크잘되는데 니들 폰이 문제,1
891763,ㅋㅋㅋ,1
859656,위로를 바라고 울겠냐.. 참 멍청한 소릴하네,1
239,2:1 티원 이김,1
821732,디도스 해결했나보네,1
921168,LPL한테지겠는데,1
671870,와 제압골ㅋㅋ,1
503206,루시드 가자!!!!,1
903391,헉,1
52937,여긴 ㅇㅅㅇ하는애들 없어서 좋네,1
295438,롤은 L자입니다,1
991363,아,1
988695,역시 무호흡 딜링머신,1
869275,ㅈㄴ 웃기네 ㅋㅋ,1
610759,동북공정 차이나 몸판애들 화이팅 !,1
167483,주말에 1만은 ㅋㅋ,1
830446,아니 꺾니키 치매무ㅜ야,1
339062,도란데리고는 성적 못낸다니까 ㅋㅋ,1
536530,1557은 리그 오브 레전드 역사에서 두 번 다시 나오지 않을 불멸의 기록이다... 역사에 남을 대기록을 남겼음에도 아직까지 10년넘게 현역으로 활동하는 대 상 혁이 새삼 대단해지네... 대 상 혁은 리그 오브 레전드의 살아 있는 역사이자 대체불가한 goat이다... 숭배하라 대 상 혁 경배하라 신 상 혁!!!,0
395318,우디르 트롤뭐냐 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ웃음벨이네,1
587906,10분전에 풀어주노 ㅋㅋㅋㅋㅋ,1
750126,선주남 ㅈ,1
157239,녹방 맞잖아 ㅋㅋㅋㅋ,1
439493,1557^벤치^,0
609184,나이키 에어 포스 1 '07,1
625790,4별 ㄷㄷㄷ,1
930108,한화 실험픽오지네,1
878184,1557,0
118963,티원 빠이,1
935375,888룰8캐 가나,1
810219,기프트,1
58761,플 쓰면 잡는데 저걸 살려주네,1
885171,이런 롤 처음이지 ??,1
470761,건부는리신이야,1
999206,역시 사회생활보소,1
254214,?,1
693759,여기 관종충 엄청 많네 ㅋㅋㅋ,1
456920,이번엔 성공,1
698005,망했네 ㅋㅋ,1
462577,라스칼 또야?,1
677306,아 루시드..,1
942414,또 루나미???,1
748828,든든아트진짜개못하는데 자꾸하네,0
840489,대 황 브리온,1
410240,88848,0
157540,"숙소에서 무관중 경기했는데 ""직관했는데"" 어그로 어이없네",1
305377,Faker 코르키18연승 ㄷㄷ,1
732653,여긴 88848 안 나와서 좋네,0
565473,걍 탈리야한테 날리면 안됬나,1
32445,케리아 럼블 서폿 뭐지..?,1
482242,ㅗㅜㅑ,1
630817,개잘그렸네ㅋㅋ,1
264530,젤리조이 ㄷㄷ,1
759046,ㅈ규남,1
252468,애니?,1
242437,롤판에서 유일하게 페이커보다 우승이 많은 사람 ,1
440012,와 티원 이걸 역전한다고?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
688875,오너라고?,1
647237,왜 차은우가 게임하고 있냐,1
995062,김지인배우네,1
898131,와 오리궁씹었네 지우,1
260901,몇 대 몇 임?,1
41765,캬 따잇,1
629205,피글렛 보고있니?..,1
157903,2:1 브리언 ㅅ,1
641312,탈리야로도 토스를 막 하네,1
379334,DRX화이팅!!,1
31532,스몰더 진짜 미친챔프 ㅋㅋㅋㅋ,1
884044,투리아ㅋㅋㅋㅋㅋ,1
773170,티원 플옵 탈락한다 딮기한테진다,1
117730,대상혁,1
309539,젠지 경기보고 싶어,1
650494,억제기 안 깨는 판단 좋았다,1
192121,대황비 ㅋㅋㅋㅋㅋㅋㅋ,1
175433,1300,1
456767,오브젝트 차이 너무나네..,1
233449,담원 까는거는 역시 즙갈 전문이네,1
423023,dk 킹겐때매 졌네 킹겐은 ㄹㅇ 개못함,0
561007,대두,1
908160,젠지는 중국팀이고 울프도 중국인입니다.,0
371863,바텀 뭐냐,1
940507,채팅 역겹네 ㅋㅋ,1
254300,우스오늘 좀그렇다,1
766367,스킨의 주인,1
192347,노틸 원툴 ㅎㄷㄷ,1
838897,루시드 혼자 급발진하네,1
709974,바텀 끝났어.,1
573397,고 버 지,1
813069,라스칼은 F급 탑이다 ㅋㅋㅋㅋ,1
843166,응 공휴일이야,1
868935,자크 겁나 안죽네 ,1
457485,바이퍼 뭐함방금ㅋㅋㅋㅋㅋㅋㅋ,1
737211,"제우스 드리블,,,ㄷㄷ",1
476478,쇼메이꼬 플레이메이킹메이꼬 ㅋㅋ,1
804158,맞습니다 준위는 없습니다,1
624984,DK는 젠지전에 힘을 다 쓴듯,1
560103,와우,1
566802,스몰더 심하다...,1
780260,아 빠지고 따이네 ㅋ,1
580163,흐웨이는 쵸비지,1
947656,이게 맞나 ㅋㅋㅋ,1
481953,2:0,1
792302,초반만 잘하는 광동 역시는 역,1
419240,그래도 킹겐 롤드컵우승함!!,1
482104,사회생활 롤,1
991118,빅게임.,1
720524,글골차이 ㅈㄴ 나는데 이거 역전 못함 ㅋㅋㅋㅋㅋㅋ,1
89005,나는 고스트 너구리 마타 추천함 다 선수 가능성있는 쉬는 인물들임,1
971788,gods,1
802680,그들만의 퍼스트 정글 ㅋㅋ,1
621945,z케리아 저걸 궁ㅇ르 ;;,1
42613,젠지 올해 그랜드슬램각이네,1
313129,기드온 예전에 크트 있던 걔임?,1
604338,40억의 품격 ㄷㄷㄷ,1
894088,젊다.,1
166282,엄청 팽팽하다 다른 의미로,1
829398,데프트 ㅊㅊㅊ,1
33056,ㅋㅋㅋㅋㅋ비상,1
159941,노틸 4번 더 죽음 ㅋㅋ,1
461949,무패 세나를 풀어?,1
371645,페이커가 쵸비보다 잘한다는애들은 그냥 정신병임,1
523753,한국 이기자,1
405396,88848 채팅시 캡쳐후 젠지 법무팀에 명예회손 자료로 제출합니다. 합의절대 없습니다. 매너채팅 부탁드립니다.,1
380163,점멸들고 말파한테죽는건 너무아쉽다ㅠㅠㅠㅠㅠ,1
180995,쵸비 따이이이잇 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
468571,이런 제카보다 커리어 밀리는 무관 쵸비가 새삼 대단하네ㅋ ..크흡 ㅜ,1
18555,"바로 전경기 티원경기 28만명 경기에서는 엄청나게 시끄럽던 그 첩이던데, 바로 다음판 1/3토막난 9만명 경기에서 클린팬 문화를 외치는건가요? 정말 그렇게 생각하시는건가요? 역시 중국팬들 수준 답네요 ㅠㅠ",1
563971,?,1
822250,바론이 살아있다는거임ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
610000,그 손동작...?,1
431757,캬,1
667803,응 탐켄치야,1
248564,해줘 구마유시ㅠㅠㅍ,1
754877,쓰리컨두 ㄷㄷ,1
11633,알리 피오지 아니냐,1
674041,쵸비빨,1
246245,ㅈㅈ,1
512695,1557,0
267879,T1은 중국에게 지지 않습니다,1
361751,카밀 하는게 뭐냐ㅋㅋ,1
838752,역시 동부의 쇼메,1
165853,개잼네,1
851723,쵸비 제우스아니면 요네 꺼내지 말자,1
639838,88848이 먼데,0
976677,삐빅 빅게임이 아닙니다,1
971219,전설의 전당이 뭐에요?ㅋㅋ,1
472478,미드 망하면 광동 질듯,1
578990,술래잡기는 켈황 ㅋㅋ,1
368096,구원데려와 차라리 오너보다는 훨 낫겠다,1
688673,꼬꼬 부탁한다 페이커 pog줘라 제발 ,1
147015,킹시드,1
