,message,label
0,kt졌지 무슨 애쉬서폿에 시비르로 골드를 지는데 답이있음?,1
1,테디키워라,1
2,표식 ㄷㄷㄷㄷㄷ,1
3,Skt t도 t1 아닌데,1
4,화이팅 한번만 해줘...,1
5,이래도 1557은 안나오네,0
6,한화도 맴버 좋아졌구나 ,1
7,살기감지 ㄷㄷ,1
8,캐니언 좀 심각한데...;;;;,1
9,표식개자라너,1
10,치감좀가라 ,1
11,젠지 바텀이 초반에만 좀 잘하면 될거같은데,1
12,구마유시가 증명해야하는판이네,1
13,룰러랑 카나비는 왜 안나오나요?,1
14,피오지 누구지,1
15,님들 아지르 ㅁ왜 못쓰게하는거에요,1
16,오이 ㄷㄷ,1
17,ㅔ,1
18,이거 급하지만 않으면 폭스가 이기겠다,1
19,와 구마유시 프로맞냐 ㅋ,0
20,w플 지네,1
21,ㅈㅈ,1
22,잘했네 이번에 ㅋㅋㅋㅋ ㅊㅊㅊㅊ,1
23,ㅁㄷㅊㅇ,1
24,4용 줄듯,1
25,오더 왜 이따꾸임?,0
26,안딜 아프다고 함,1
27,아리 딜 개잘넣음,1
28,조선족 많네,0
29,님들 이거 단판이에여?,1
30,그냥 문도식칼전으로 마무리하는게 어때,1
31,응 기 인,1
32,제카가 너무 영향력 없네,1
33,고전명작,1
34,드디어 기어나온 LCK,1
35,대상혁,1
36,신두장군님 오오오오~,1
37,어딜 비비를 아이유에 갖다댐,1
38,롤신두 ㅜㅜ,1
39,운전 미숙ㅋㅌㅋㅋㅌㅌ,1
40,낀낀이형은 고통스럽다,1
41,보여줘......,1
42,와 대황화,1
43,와 젠지 진짜 적당히 하자,1
44,88848이 입터네 ㅋㅋㅋ,0
45,지금 니코 버그땜에 글로벌밴,1
46,오너 코로나 걸림,1
47,와,1
48,미카엘 ㅈㄴ 잘쓰긴한다,1
49,파궁사,1
50,무관중의 쇼메 ㄷㄷ,1
51,티원 출신은 어디서나 서포터해주네,1
52,젠첩 슼갈 모두 조용히 해주세요 여긴 광동의 방입니다,0
53,구마는 게임이 재미없다 ,1
54,88848,0
55,진짜 다 이겨가는 게임을 이렇게 쳐 던지냐 이번 매치 지면 한동안 응원할 마음 사라지겠네...뭔 솔랭하는 것도 아니고 ㅈㄴ감정적으로 해 ㅋㅋㅋㅋ,0
56,페이즈 유미가먹어서 좋아할듯 ㅋ,1
57,ㅋㅋㅋㅋㅋ,1
58,닌탑이려 하려다 저는거 개웃기네 ㅋㅋ,1
59,또또 갈고리 ㅋㅋ,1
60,카르마가 탱커냐 ㅋㅋㅋㅋ,1
61,폴?루,1
62,lpl한테 지지마 딮기!!!!!,0
63,타워에 낑낑이 나오는거 좀 귀엽네,1
64,지우선생님?,1
65,언제시작하냐,1
66,생방이라는데 뭐가 생방인가요?,1
67,와 루시드,1
68,스킬을 땅에ㅜ던지냨ㅋㅋㅋㅋㅋㅋ,1
69,어우..제우스 요새 잘하니까 뭔가 카리스마 있어 보인다;;,1
70,후니 취향확인,1
71,엄식 ㅋㅋㅋㅋㅋㅋ,1
72,오늘 한중전이노 ㄷㄷ,1
73,볼베가 딜1등이네 ㅋㅋㅋㅋㅋ 뭐하는팀임,1
74,원딜 듀오 ㄷㄷ,1
75,티원 페이커 원맨팀아님?,1
76,제우스 페이커 케리아 잘생겼음,1
77,관문 왜 깔았지.....,1
78,오너 어디아픈데,1
79,Kt 대떡 가즈아,1
80,ㅋㅋㅋ쵸비 하나 살리겠다고 젠지 다 망치네,1
81,칼리 할건데 애쉬를 풀어?,1
82,아트 나오나,1
83,1 황 젠 지,1
84,퇴근 본능이네,1
85,내수용 젠지..롤드컵에서 잘하자,1
86,현준이뭐임?,1
87,대황포니 ㅋㅋㅋㅋ,1
88,kt만 이기면 확실히 서부다,1
89,조합난이도가 너무 높다 티원,1
90,88848 채팅 그만하세요,0
91,페이커는 또 증명해야해 ㅋㅋ,1
92,방금 장발 유하람이냐?,1
93,구마유시야 고맙다!!!,1
94,운영레벨 차이가 너무나서 초반에 킬을 개쳐먹지 않으면 절대 못이김 ,1
95,티원 고장났는데 디플이 더 엉망이네,1
96,이거 좀 큰데,1
97,브리온 Drx 누가 이길지 궁금하다 ㅋㅋㅋㅋㅋㅋㅋㅋ,1
98,지우는 진짜 지리네,1
99,앞궁에 앞플레,1
100,어휴..,1
101,25대7은 좀 심하네,1
102,허수야 힘내 ㅠ,1
103,두긴거,1
104,아지르 무슨버그임?,1
105,대 황 두,1
106,나이스 클템 정노철이다 ,1
107,구에고,1
108,성캐형 오랜만이네,1
109,실비가실비하네,1
110,켈 황,1
111,우스야 ㅠㅠ,1
112,니코 코르키 구도가 애초에 생소한데 모르면 브실골임? ㅋㅋㅋㅋㅋㅋ바들바들하노,1
113,대 든든,1
114,하,1
115,1매치는 좀 끝내게 해줘라 ㅠㅠ,1
116,싸우지좀마라 막상 선수들은 친한데 지들이 난리여;,1
117,오늘 랭은 카사딘이다!!,1
118,t1 벌써 6연패라며?,1
119,죄송합니다 티원팬인데 너무지겨워서 못하는 쇼메욕하면서대기중이였읍니다:face-purple-crying::face-purple-crying:,0
120,구마유시 ㅋㅋㅋㅋㅋ,1
121,후반 가야 의미가 있으면 극후반 700스택 쌓고 진 데프트는 뭐가 되냐?,1
122,디플러스기아가 차이나 라이브러리를 열어버림 ㅋㅋ,1
123,ㅈㅈ...,1
124,역시 어뷰는 켈황..,1
125,ㅈㅈ,1
126,저 옵저버는 레알이네 쵸비만 미는 일관된 사람,1
127,와 표식,1
128,2대1 브리온 승 맞음?,1
129,Dk 가즈아,1
130,디도스 미쳤네,1
131,렉사이 피 왜케 많이 참?,1
132,바이궁플쓰고 시비르e쓰구만 뭘 ㅋㅋㅋㅋ,1
133,젠지가 무조건 이김 ㅅㄱ ㅋㅋ,1
134,pay big 아니다 페이커는faker야,1
135,와,1
136,나미 심한데,1
137,ㅋㅋ켈린은 진짜못하네,0
138,뭐하냐진짜 2렙칼리랑 밎딜하는게 맞냐??,1
139,오너마저 ㅋㅋㅋㅋ,1
140,1557-0013,0
141,몬가 슬프다 에포트 왜이리실력이 줄었냐 ㅠ_ㅠ;,1
142,미쳤다 T1,1
143,ㅈㅈ,1
144,ㅋㅋㅋㅋ,1
145,집케리아,1
146,펑,1
147,오,1
148,준위가높음 대령이 높음? ,1
149,ㅋㅋㅋ 말까면 바로 빠다지,1
150,제우스 뭐야?,1
151,아까 용 한타가 너무 컸다...,1
152,터졌다,1
153,하늘이 도와줬는데 우승 못한 팀은 누구?,1
154,역대급 미드차이 like 88848,0
155,T1 vs LPL,1
156,롤 신 두,1
157,태황칰 7연승 소리 질러!!!!!!!,1
158,ㅁㄷㅊㅇ ㅌㅊㅇ ㅈ되네 ㄷㄷㄷ,0
159,영원한 무관의 황제로 등극하자,1
160,야무지게패네 ㅋㅋㅋ,1
161,(공지) 88848 무관젠첩 팬들은 전부 나가주세요.오직 한화 농심팬들끼리만 조용히 즐기고싶습니다.질서있게 퇴장부탁드려요. 참고로 저는 T1팬입니다.,0
162,텔?,1
163,부끄꼼,1
164,전당 아리스킨 나온다던데,1
165,쵸비는 팀원들 죽는동안 CS만 먹음?,0
166,5꽉 말고 4셋 까지로 합의 보자,1
167,자비는 켈황,1
168,작은 거 온다,1
169,이거 라이브냐,1
170,폭스가 여우인데 뭔 늑대드립이냐ㅋㅋㅋ,1
171,솔랭이냐?,1
172,녹방이라고 lck 공지좀 쳐 읽고 오세요ㅋㅋ,0
173,마패 ,1
174,줌마 군단,1
175,한타 부셔졌네;; 먹어야하는데,1
176,진짜 3인갱이 일상이네,1
177,88848,0
178,둘다 ㅈㄴ 잘해서 기분 좋네,1
179,dk win,1
180,코르키한테 일단 궁,1
181,큰거 온다,1
182,여자친구 구함.,1
183,젠지 vs 한화생명 !,1
184,방문형 정글러랑 대방문이 ㅈㄴ웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋ,1
185,ㄲㅂ,1
186,서로 뭐함?ㅋㅋㅋ,1
187,그래도 순수재미는 T1이 이겼다,1
188,준위드립모르나 찐이네ㅋㅋ,0
189,구원선수 죄송합니다만 기억나내요 ㅋㅋ,1
190,우리 88이는 ^세계최강^(해외에서 버러지로 까이며),0
191,ㅋㅋㅋㅋㅋㅋㅋ 방생 ㅋㅋㅋ,1
192,DRX는 진짜 ㅋㅋ,1
193,초가스,1
194,22분 실화냐,1
195,ㄱ보,1
196,페이커의 P자도 모르면 제발 훈수두지말고 그냥좀 보면안됨;?,1
197,라코 설날에도 풀로 처놀았으면서 이런 것도 해결 못하면 도대체 뭐하자는거임?,0
198,광동 화이딩,1
199,아오 낀낀이형,1
200,이번년도 GEN T1 HLE KT MSI 롤드컵가면 개쎌듯 ㄹㅇ,1
201,솔랭하냐 ㅋㅋ,1
202,젠지 전승우승 가자,1
203,한번 더 공격받으면 그냥 중단하고 솔직피 팬미팅이라도 해라....이게머냐 팬들한테,1
204,캬 표시기,1
205,3대떡 당하겠노 ㅋㅋ,1
206,기인형이 잘했네 저걸 어떻게 반응해,1
207,...허,1
208,코르키 밸류 미쳣네,1
209,ㅎㅎㅎㅎ 연출점수~,1
210,대퍼 대퍼!,1
211,대 우 스,1
212,3경기 가겠네,1
213,구마유시 궁각을 만들어주노 ㅋㅋㅋ,1
214,퓨식이 동선 ㄹㅇ 아름답네,1
215,했어야됐는거아닌가,1
216,불뒤에서 보기만하네,1
