,message,label
53388,쇼메 증명해버렸노 ,1
382134,1557 1557,0
275437,야미,1
563284,슈렐 버그 고쳣나요?,1
444279,요네 이제 딜 나오네,1
616959,??,1
154992,와 22DRX 킹겐 아트록스 급 포스였다 방금,1
847905,세나 연승 킹갓디알엑스가 이미 깼음ㅋㅋㅋㅋ,1
468084,?,1
843796,으라차차 실패,1
530840,ㅇㅅㅇ,1
974431,젠지5시30분에 보시죠,1
787568,티원팬은 어디에나 있구나.. 징그럽다,1
10996,kt가 이기면 자살할게요 t1 화이팅!!!,1
995122,빅 게 임,1
444642,와 장로 호소용,1
38452,88848,0
874759,웃는데?,1
615636,벤제마는 발롱타서 쵸비가아님,1
499223,역시 미소는 켈황 ㅋㅋ,1
261501,와 1대1이네 알바하는 중인데 서럽에,1
981299,정글 > 미드 > 원딜 > 탑 > 서폿,1
995462,해설 괜찮게 하는데 왜 까는거,1
380298,대 황 젠,1
846241,대.황.겐.,1
181703,??,1
624710,켈황은 하이파이브안하노 ㅏㅋㅋ,1
966188,지금이 후반인데 뭔 후반벨류야ㅋㅋ다뿌서지고 있어,1
626485,대 상 혁,1
86929,gg,1
158138,아까 직관 가있다고 한 애는 뭐임,1
156261,미디어 ㅋㅋ,1
730127,나이스,1
377000,골드차이 보면 의미 없다,1
35193,암것도안한 피터 멕이노 ㅋㅋ,1
702424,우조틀 ㄷㄷㄷ,1
900658,통나뭌ㅋㅋㅋㅋㅋㅋ,1
585699,왜시작안함,1
295896,저 관중한테 마이크 왜주는거임?;;,1
788261,으악...,1
947790,ㅋㅋㅋㅋ제대로 말리네,1
40614,위에 그림 퀄리티 뭐냐 ㄷ,1
674882,한국 이겨라,1
318920,솔까 프로씬에서 메자이 오만은 상대팀한테 예의가 없는 템 아닌가?,1
300382,씨맥 왜 출정먹음?,1
119288,딜라이트 뭐임????★,1
261550,마형!,1
220447,큰거 오냐???,1
240874,백현 나오나요?,1
465581,타임 슬립 ㄷㄷㄷㄷ,1
494461,비디디가 잘했다,1
769885,캐스터 나이스,1
258840,룰 러 대,1
538056,에포트 신인치고 잘했네,1
631249,누나 점점더 까매져...ㅠㅠ,1
682552,10대빵 실화냐?,1
420562,내다버린 3년합ㅋㅋ,1
343899,대상혁,1
997192,니가어케알아,1
850940,오늘 브리온은 왜케 못하냐,1
459006,888사8,0
598489,ㅇㅅㅇ,1
633274,익룡은 30년전 스타크래프트때도 있었고 그때도 말 많이 나왔다. 걍 E스포츠 전통이다 생각하고 이해해라,1
556734,바루스 2랩차 ㅋㅋ,1
932031,대 상 혁,1
346579,제우스,1
379698,맵핵 ㅋㅋ,1
85719,좌측위에 바론 골드는 무슨뜻임?,1
575961,바이퍼가 미쳤다 ㅋㅋ,1
795802,또 당신입니까...,1
387990,두신,1
411664,젠지 미드에는 괴물이 살고있다,1
500976,푸드득꾸드득푸직,1
123387,우서?,1
659621,강팀의 품격,1
597732,자야라칸 벌칙 ㅋㅋ,1
694742,흐웨이 2/3/4 면 하지말자,1
589720,왜그래 무슨 일이야???,1
735594,케이티 파이팅!,1
481668,?,1
229056,페이즈는 딜량 왜 저럼? 아니 이긴팀 원딜 딜량이 진팀 원딜 딜량보다 왜 낮음? 버스 너무 타는대..,1
