,message,label
0,롤은 L인데용,1.0
1,테디도 폼 다죽었네,1.0
2,티원 화이팅!!,1.0
3,명상혁은 못이겨 ㄷㄷㄷㄷ,1.0
4,헉 ㅋㅋㅋㅋㅋ,1.0
5,ㅁㅍ,1.0
6,아니 럼블 우ㅏㄴ딜이야?,1.0
7,광동의 타(따)이윤= 브리온의 얽포트 =kt의 뿩펙트광동의 타(따)이윤= 브리온의 얽포트 =kt의 뿩펙트,1.0
8,프로는 F시작해 바보야,1.0
9,광고,1.0
10,엄청난 미녀를 데려와라,1.0
11,젠장 또 대상혁이야,1.0
12,듣는사람이 다 민망하네…,1.0
13,ㅁㅍ,1.0
14,어차피 토요일에 진짜는 나온다,1.0
15,한화는 동부팀한테 쳐맞노,1.0
16,T1 서커스,1.0
17,"애휴 티원아 젠지한번만 이겨줘라 , 월즈 우승해도 긁히잖아 ㅠㅠㅠㅠㅠ",1.0
18,저게.. 뭐야... 무서워...,1.0
19,lck 화이팅!,1.0
20,불독 ㄹㅇ이노,1.0
21,대악마 맞음 사전에도 나옴,1.0
22,비디디 왤케 귀엽게 생겼냐 진짜,1.0
23,당연한말을 당당하게 하노..,1.0
24,중국팀이 왜있음???,1.0
25,낼 광동 젠지전 이랑 담원기아 한화생명전 보고싶다 ...내일이 빅매치인데..,1.0
26,클라오이 ㄷㄷ,1.0
27,이야 이걸 이겨내네 티원,1.0
28,근데 ㅈ멸망전치고는 안싸우네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0.0
29,ㅇㅅㄴㅅ,1.0
30,올해도 젠지우승이네 ㅋ,1.0
31,ㅈㄹ 안할꺼면서ㅋㅋ,0.0
32,?,1.0
33,/페이커화며,1.0
34,2대0으로 지겠네 drx,1.0
35,갓흥민,1.0
36,밴픽 개빠르넹,1.0
37,88848을 모르는 사람이 있단말야?,0.0
38,담젠동맹이니까 이간질 자제해주세요 빨간팀분들,1.0
39,불 오눌도 작두 타려나 원딜 간지 오짐,1.0
40,니코6이다,1.0
41,불 화끈하네,1.0
42,대황란,1.0
43,훠훠훠즈 화이팅~~~!,1.0
44,상혁 행동 ㅋㅋㅋ,1.0
45,캐니언... 개슬프네,1.0
46,KT < T1 < 젠지 < KT 도원결의,1.0
47,쵸비 = 메시,1.0
48,현준이 어깨 머임?,1.0
49,롤통령 훠즈,1.0
50,존나멋있따 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0.0
51,리신킥 맛없네 하는것들은 티어가 어디냐 ㅋㅋ,1.0
52,이건 안딜때문,1.0
53,88848,0.0
54,?…,1.0
55,구마 딜량 ㄷㄷㄷㄷ,1.0
56,딮 왤케 우왕좌왕하냐 ㅋㅋㅋㅋ,1.0
57,젠지가 이기겠는데,1.0
58,대 황 비,1.0
59,개ㅐㅐㅐ 상ㅇㅇㅇ 혁ㄱㄱㄱ,1.0
60,진짜 치열하긴 하네 ㅋㅋ,1.0
61,이거 주가주작아니냐,1.0
62,신 상 혁,1.0
63,케리아 출전함 루머임,1.0
64,t1은 또 서커스네,1.0
65,젠지 월즈 성적,1.0
66,쇼메>쵸비,1.0
67,디플러스 화이팅!,1.0
68,페이커 대포놓친,1.0
69,한화는 기대이하임 광동이 이길만함,1.0
70,뭔딜량이 4.7이냐,1.0
71,와 22 drx저러다가 우승하지 않음?̊̈ 표식이,1.0
72,페이커 혼자 딜했네,1.0
73,골드 찍고 입털어 tlqkftoRlemfdkㅋㅋㅋㅋㅋ,0.0
74,1세트보다 더 힘드네 흠,1.0
75,둘이 엄대엄이네,1.0
76,ㅇㅅㄴㅅ,1.0
77,티원 즐겜하네,1.0
78,라인 잘지워놔서 시간벌엇네 흐웨이,1.0
79,루시드 켈린이 다했다,1.0
80,t1전은언제해요?,1.0
81,맞을준비 끝?,1.0
82,ㅋㅋ 개양학경기 ㄹㅈㄷ,1.0
83,맥아리가없네 브리온팬들,1.0
84,"팩트:쵸비는 월즈 기록이 88848. 페이커의 발 끝에도 미치지 못함. 비리비리한테 3ㄷ2로 발리고 설레발떨다가 lpl 공식 중계진한테 조리돌림 당하고 ""영토의 무결성"" 을 외치며 스스로 lpl이 된 팀. 따이 후앙 찌엔ㅋㅋ 지금 쵸비>페이커라면서 1557거리는 분들은 전부 다 자신이 중국인임을 알리고 동북공정을 지지하시는 거죠? 조선족, 간첩이나 다름없네",0.0
85,불사대마왕vs lck용사들,1.0
86,제카닉 33업 ㅋㅋㅋ,1.0
87,대마우시,1.0
88,대황카,1.0
89,대황커즈,1.0
90,절약왕,1.0
91,짱지 참교육 드가자~,0.0
92,바텀이 제대로 안붙읍,1.0
93,씨맥 DDong 싸러감,1.0
94,애쉬서폿은 약자멸시 픽 같은데,1.0
95,잘했는데,1.0
96,이거지면 동부한테 닦인 t1임?,1.0
97,사일한테 저렇게 계속 뚜디리 맞는 이즈는 진짜 첨본다 ㅋㅋㅋㅋㅋ,1.0
98,손떠는거 왤케 기엽냐 수고했어요 앞으로 응원할게요 ㅋㅋㅋ,1.0
99,노답,1.0
100,88848 0,0.0
101,담원 왜이래됐노..,1.0
102,퍼펙트 닉넴 부터 바까라 퍼펙트는 무슨 늬미,1.0
103,정신승리 ㄹㅈㄷ긴하네 ㅋㅋ,1.0
104,/테디시점,1.0
105,닐라사기,1.0
106,와 저게 안되네,1.0
107,진짜 오늘 광동 이길 각 나왔노,1.0
108,기인 개던지네 ㄷㄷ,1.0
109,태윤 ㅋㅋㅋㅋㅋㅋㅋ,1.0
110,1세대 종로의 왕 쇼메이커가 해주겠지,1.0
111,이정돈 해야 8강딱이라도 하는구나,0.0
112,선수들 다툼기사 뜬 타이밍이 ㄱ같아서 그럼 클린스만과 선수단 싸운 기사 뒤로 런친 몽규 극혐이고 롤겜에 국대이야기ㄴㄴ,1.0
