,message,label
953773,정보) lck 매판마다 티까들은 존재했지만 항상 승자는 티원이었다,1
354161,트페 아칼리 나오나,1
335075,갓구 ㅋㅋㅋ,1
460073,영사절망 볼베 ㅇㄷ?,1
594622,또스칼..,1
973180,대한민국 화이팅 힘내라 대한민국,1
334091,대상혁,1
189208,개 상 혁,1
982672,대 시 드,1
288613,?,1
373309,대상혁 ㄷㄷ,1
15626,스몰더 저거 진짜 버그아니냐,1
485118,브리온은 강등 안하나,1
321420,빅 게 임,1
951331,놀아준거임 그냥ㅋ,1
33008,대 마 유 ㅅ ㅣ,1
666572,1557,0
791343,왜또 전판이랑 비슷하게 가냐 ㅋㅋ,1
299264,1ㄷ0,1
352479,대 황 두,1
316148,bro프로맞냐,1
518294,킹겐아..,1
543102,벌써 T1이 져있는데??,1
810862,끼야후 꽤 라하는데,1
154010,퍼펙트하네..,1
423680,불독은 진짜 못하긴해,0
97823,88488,0
550714,??,1
982483,wq로 라클하면 아지르한테 터짐,1
548773,응 됐구요,1
48792,드디어 켈황 경기다 ㄷㄷ,1
655195,요즘 착취가 좋음?,1
2426,르블랑 나오나?,1
769848,브실골 롤대남들 훈수두는거 역겹노;;,1
652154,탑 카르마 해서 또 발리는 중?,1
43650,13대0은 거짓말치지마셈 농심도 젠지상대로 1킬은하는데..,0
662593,테디머함?,1
434781,지우는페이즈가아니네,1
699309,4강 딱 한번 가봤다면서?정말 대단한 팀이다 젠지!!중국팀답다!!!,1
919392,꼬우면 데뷔해라~ 선수 비하하지말고,1
701665,비트코인 왜케 떨어지나요?,1
643666,리라 연전연패,1
294026,ㅇㅅㄴㅅ,1
537961,ㅇㅇ,1
652898,세나 안정적이네,1
965709,1557~앞뒤가 똑같은 전화번호~,1
421627,궁교환 ㅋㅋㅋ,1
872111,용준이면 컴터 끈다 진짜 나오지 마라,1
566069,오,1
284251,둘다 너무잘하네 재밌었다 리얼,1
965776,오공 진행시켜~,1
143242,시작하자마자 그라가스 빤스런해야겠네,1
121813,당연히 딜라지,1
877013,쵸비연봉이 천억임? ㄷ,1
