,message,label
619840,렉사이 제리 밴ㅋㅋㅋ 답이없다,1
785032,어차피 젠지 우승인데 관심도없는 하위권 팀 대충 가위바위보로 정하고 젠지경기나 보여줘라,1
22590,??,1
313270,에포트 니가 그럼 그렇지..,1
436064,그렇게 갱당했는데 ㅋㅋㅋㅋ,1
611422,역시 체급이 다르다,1
53941,아니 불끄고 ,1
228049,켈황 ㅋㅋ,1
910347,프로의 F도 모르는 애들이 템트리로 훈수하놐ㅋㅋㅋㅋㅋㅋㅋ,1
452487,스몰더는 ㄹㅇ 전설이다,1
521692,꽉수빈 여지없구나 ㅋㅋ ,1
992713,:smiling_face_with_sunglasses::smiling_face_with_sunglasses:,1
519521,젠지도그렇고담원도그렇고 상대를 대떡못내는 꼬라지로는 티원한테 발릴듯,1
564235,엄 대 엄이네,1
886573,오너 의사 파업떄문에 치료를 제대로 못받아서...,1
797348,역시 유틸은 캘황ㅋㅋ,1
345734,화이팅 티원:face-fuchsia-tongue-outface-fuchsia-tongue-out:,1
641345,”가능“,1
257109,ㅋㅋㅋㅋ 팀원들이 미약 ㅋㅋㅋㅋ,1
887767,오케이 ,1
395759,1황 탑 킹겐 ㄷㄷ 제우스 뒤지게 털어먹은,1
602866,하긴 취소니깐 인터뷰도 하고 그런거구나,1
331264,대상혁,1
921586,서커스를 왜 젠지가 하냐..?,1
357121,Silver Scrapes 틀어주지 ㅎㅎ,1
791420,안딜이었으면 일단 바텀에서 난리났겠는데,1
799382,대 시 드 대 시 드 ㅋㅋㅋ,1
973690,그래도 젠지 이번년도엔 폼 좋네 월즈 4강 정도는 노려볼만 하겠는데?,1
958408,든버지 집안 폭삭 망했네 ㅋㅋ,1
114895,바이퍼는 징크스 잘 안하지않냐?,1
603692,충격적인거 88848은 순수 LCK선수들로만 꾸려서 만든 성적,0
623525,역시 반응은 켈황 ㅋㅋ,1
153686,게임 개재밌게 하네ㅋㅋ,1
320820,대전의 자랑!,1
839794,나이스,1
522437,블루가 이긴다고,1
599070,하 말파 진짜 답답하네,1
351128,류또죽;; ㅎㄷㄷ,1
868704,빙그르르 빵,1
626915,페이커오빠 너무 잘생겼다 !,1
846663,와 저걸 다 보고 피한거네 ㅎㄷㄷ,1
107187,우스는 잘하니까,1
104624,든 버 지 ㄷㄷㄷㄷㄷㄷㄷ,1
564455,롤 신 두,1
926743,그래도 경기 재밌었으면 개추,1
78931,케리아 또 캐리하네 ㅋㅋㅋㅋ,1
771359,한화잘하네,1
758055,바텀 작살났네,1
960929,사이드나 파지,1
168850,레넥 존야 == 쓰레기로 판명됨,1
577524,마방룬무새 ㅋㅋㅋㅋㅋ,1
39879,페1이커 이제 안써지네 대단하다 ㅋㅋLCK,1
498363,개간지네 ㅋㅋㅋㅋㅋ,1
715832,쵸비 또 처맞고있네 ㅋ,1
358668,잘가라...광동,1
159041,브리온이 2대1로 이긴다 광동팬들은 유튜브 끄고 밥이나 먹어라,1
243274,대우스 아트록스 엔딩 날듯,1
123211,어차피 럼블이라 후반가면 짐,1
326262,구리미쳤다,1
898529,미드가 좀 못했음,1
249936,구마유시 페이커대리고 절대우승못함,1
257916,또 당신입니까 goat...,1
796097,대체 저번에 1세트는 어케딴거냐?,1
782644,룰러 그자리 나올뻔,1
969504,농심 왜 은근 잘하지?,1
565701,그냥 오리아나 충격파 한번 대박나기 그게 힘들어?,1
178721,왜 던지노?,1
