,message
253542,티원갤 이미 그분제외 범인찾기중
511834,아 빨리 빅게임 선언해라 짜증난다
127092,조용하니 좋네 ㅋㅋㅋㅋ
444184,오너 오늘 폼 왜이럼 롤드컵 폼어디갓음???
173405,아무리 생각해도 루나미는 개 구데기가 맞다
80561,내가 항상말하는데 켈린달고 상위권 못간다
205502,청주에서 온 분들은 뭔죄여..
54359,전용준 진짜 못들어주겠네 ㅋㅋ
253697,슼빠 꼬꼬 어디갔냐?
489770,좀 쳐박는 돌진조합이나해라ㅋㅋ 미드니코 정글 바이 렐 바텀도 라인전 개털릴거 닐라 세나 이런거하든가ㅋㅋ
449951,다섯글자로 웃겨준다 앵그리티원 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
643736,프로게이머 체형이 따로있는듯
168287, 앞비전 할때마다 이즈가 터짐 ㅋㅋ
995239,"클템 없으니까 각 종 합성어,줄임말, 억지 비유, 정치 비유 안들어도 되니까 좋다. LCK는 작가가 가이드라인도 안내주노 클템처럼하니까 그들만의 스포츠로 만들지ㅋㅋ"
106251,싸우지도않고 ㅋㅋㅋ 걍 개처발리고
546192,프로2군 연봉 4천도 못받을텐데 1군못달면 망한거임 개소리ㄴㄴ
515075,어 팔팔이형이야~
890623,포버지 때 처럼 난리 나는건 아니겠지?
803245,궁을 왜 쓰냐 ㅋㅋ
608737,약팀이 너무 약해서 오늘 노잼경기임
1287,하.. 젠지 별 2개 신경쓰이네
355399,태윤콜업하라고
183835,딮기 운영 진짜 레전드네
728601,T1화이팅!
283884,따따운
539221,DRX 팀네임 볼때마다 극혐... 드래곤액스라니...
690393,챌린저 일겜임 ㅋㅋ?
729214,티원팬인데 솔직히 히라이 개간지나게 생김
861043,탐켄치 모하노??
618095,이퀄 맞출 자신 없으면 진영 가르는 방향으로 써야 되는데 이도저도 아니게 쓰네
11758,퍼펙트 ㄹㅇ 방출안함? 쟤때매 kt힘을못쓰는데
799105,역시 뚱러 ㄷ ㄷ
130957,얘내 경기 중계 하지마라 그냥
